role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
formal,down,25,14,1,29,-1.1435385715303568,-1.0129850953292578,0.5,1784279292.850564,1784279294.286612,29,True,1784279298.411249,1784279299.289599,1784279299.28986,1784279299.499993,1784279299.3949265,0.71739706,1784279299.499996,1784279303.626921,1784279301.5633833,1784279303.627146,1784279303.835903,1784279303.7315245,0.694606591,0.5000363956037189,0.7060009960271217,0.7000074999999999,0.32355849999999997,0.5498295,-0.0026464999999999995,0.00296775,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4584727,4658913,0,0,0,0,4
formal,down,55,15,0,30,2.7730657145026036,2.9036191907037026,0.5,1784279347.698412,1784279349.128555,30,True,1784279353.2510211,1784279354.128692,1784279354.128906,1784279354.335957,1784279354.2324314,1.33139912,1784279354.335959,1784279358.447653,1784279356.3978906,1784279358.447857,1784279358.658016,1784279358.5529366,1.34480528,0.5012050870810338,1.3381183555902223,1.2,-0.2038835,-0.34687425,-0.000314,0.00198,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2989892,3049004,0,0,0,0,4
formal,up,55,15,1,31,2.7730657145026036,2.6425122383015047,0.5,1784279360.8183749,1784279362.253144,31,True,1784279366.3445098,1784279367.220026,1784279367.220233,1784279367.428069,1784279367.324151,1.34748651,1784279367.428072,1784279371.532464,1784279369.4761007,1784279371.532686,1784279371.734962,1784279371.6338239,1.31799296,0.4993301644305806,1.3327594908288585,1.2,-0.2064745,-0.35167024999999996,-0.00023875,0.0019135,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2949327,3051883,0,0,0,0,4
formal,up,64,16,0,32,3.948047000312492,3.817493524111393,0.5,1784279382.530883,1784279383.979143,32,True,1784279388.09993,1784279388.971904,1784279388.972123,1784279389.1822479,1784279389.0771854,0.858161725,1784279389.182251,1784279393.3174121,1784279391.2515883,1784279393.3176372,1784279393.518924,1784279393.4182806,0.886314658,0.5008881048324535,0.872263194255845,0.87249675,-0.31988799999999995,-0.5420395,-0.001647,0.0044357500000000005,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4525869,4609879,0,0,0,0,4
formal,down,64,16,1,33,3.948047000312492,4.078600476513591,0.5,1784279395.676472,1784279397.1061382,33,True,1784279401.216424,1784279402.098897,1784279402.099147,1784279402.299387,1784279402.199267,0.842074335,1784279402.2993898,1784279406.414034,1784279404.3604562,1784279406.414266,1784279406.6244092,1784279406.5193377,0.854139878,0.50026711273758,0.8481103293602211,0.86225825,-0.3202465,-0.54317825,-0.00163525,0.0043507500000000005,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4504105,4620973,0,0,0,0,4
formal,down,16,17,0,34,-2.3185198573402452,-2.1879663811391463,0.5,1784279473.330134,1784279474.7588632,34,True,1784279478.874516,1784279479.734499,1784279479.7347121,1784279479.944841,1784279479.8397765,0.264268901,1784279479.944844,1784279484.051421,1784279481.9955258,1784279484.051641,1784279484.2617779,1784279484.1567094,0.246840895,0.49937058615707075,0.25556586742823106,0.2519185,0.24334825,0.4121785,0.00271925,-0.00590925,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3492089,3425525,0,0,0,0,4
formal,up,16,17,1,35,-2.3185198573402452,-2.449073333541344,0.5,1784279486.416797,1784279487.8451462,35,True,1784279491.955185,1784279492.830189,1784279492.830421,1784279493.037399,1784279492.93391,0.253543974,1784279493.0374012,1784279497.133387,1784279495.078066,1784279497.133609,1784279497.342274,1784279497.2379415,0.246840895,0.49817390103496945,0.25020467498562443,0.24255925,0.23962950000000002,0.40628225,0.0027135,-0.0059595,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3451947,3363533,0,0,0,0,4
formal,up,35,18,0,36,0.16199619048062974,0.031442714279530826,0.5,1784279522.429888,1784279523.862342,36,True,1784279528.006578,1784279528.880844,1784279528.8810508,1784279529.091219,1784279528.986135,1.26839018,1784279529.091222,1784279533.2110012,1784279531.1513135,1784279533.211221,1784279533.421379,1784279533.3163,1.22280924,0.5000221891520044,1.2455986985975938,1.2,0.24638325,0.41899775,-0.00252625,0.003334,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3618358,3666715,0,0,0,0,4
formal,down,35,18,1,37,0.16199619048062974,0.29254966668172866,0.5,1784279535.57266,1784279537.0007522,37,True,1784279541.123137,1784279541.990336,1784279541.990552,1784279542.200704,1784279542.095628,1.25230279,1784279542.200706,1784279546.310647,1784279544.2500436,1784279546.3108711,1784279546.512761,1784279546.4118161,1.23085293,0.49914775701035247,1.241596140492814,1.2,0.24515150000000002,0.41740875,-0.0024997500000000002,0.0033455,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3564497,3597525,0,0,0,0,4
formal,down,45,19,0,38,1.4675309524916171,1.598084428692716,0.5,1784279563.006397,1784279564.452173,38,True,1784279568.56685,1784279569.4407492,1784279569.440964,1784279569.642367,1784279569.5416656,1.47216379,1784279569.64237,1784279573.730161,1784279571.688287,1784279573.7303839,1784279573.9405088,1784279573.8354464,1.53517273,0.49993736611869055,1.5036643135055305,1.2,0.028116,0.048089,-0.003061,0.005577250000000001,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-568761,642439,0,0,0,0,4
