sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
72,58,28,1.4675309524916171,1.3369774762905182,-0.13055347620109892,1784280787.156106,1784280788.582726,1784280787.869416,1.49763549,"[dac] CH_A set to +1.337 V (code=37149)
"
73,58,29,1.3369774762905182,1.2064240000894197,-0.13055347620109847,1784280788.582942,1784280790.002869,1784280789.2929053,1.53919458,"[dac] CH_A set to +1.206 V (code=36721)
"
74,58,30,1.2064240000894197,1.0758705238883213,-0.13055347620109847,1784280790.003128,1784280791.426003,1784280790.7145655,1.48825118,"[dac] CH_A set to +1.076 V (code=36293)
"
75,58,31,1.0758705238883213,0.9453170476872224,-0.13055347620109892,1784280791.426247,1784280792.850104,1784280792.1381755,1.45071393,"[dac] CH_A set to +0.945 V (code=35865)
"
76,58,32,0.9453170476872224,0.8147635714861234,-0.13055347620109892,1784280792.85033,1784280794.266853,1784280793.5585916,1.44535147,"[dac] CH_A set to +0.815 V (code=35437)
"
77,58,33,0.8147635714861234,0.6842100952850245,-0.13055347620109892,1784280794.267114,1784280795.684801,1784280794.9759574,1.42524223,"[dac] CH_A set to +0.684 V (code=35009)
"
78,58,34,0.6842100952850245,0.5536566190839265,-0.13055347620109803,1784280795.68502,1784280797.1062882,1784280796.3956542,1.37832068,"[dac] CH_A set to +0.554 V (code=34582)
"
79,58,35,0.5536566190839265,0.4231031428828276,-0.13055347620109892,1784280797.106516,1784280798.5282712,1784280797.8173935,1.38636437,"[dac] CH_A set to +0.423 V (code=34154)
"
80,58,36,0.4231031428828276,0.29254966668172866,-0.13055347620109892,1784280798.528476,1784280799.942179,1784280799.2353275,1.3126305,"[dac] CH_A set to +0.292 V (code=33726)
"
81,58,37,0.29254966668172866,0.16199619048063063,-0.13055347620109803,1784280799.942382,1784280801.3626728,1784280800.6525273,1.27777449,"[dac] CH_A set to +0.162 V (code=33298)
"
82,58,38,0.16199619048063063,0.031442714279531714,-0.13055347620109892,1784280801.36288,1784280802.782283,1784280802.0725815,1.20940308,"[dac] CH_A set to +0.031 V (code=32870)
"
83,58,39,0.031442714279531714,-0.0991107619215672,-0.13055347620109892,1784280802.7825239,1784280804.211571,1784280803.4970474,1.19063446,"[dac] CH_A set to -0.099 V (code=32443)
"
84,58,40,-0.0991107619215672,-0.22966423812266612,-0.13055347620109892,1784280804.211784,1784280805.638016,1784280804.9249,1.13566921,"[dac] CH_A set to -0.230 V (code=32015)
"
85,58,41,-0.22966423812266612,-0.36021771432376504,-0.13055347620109892,1784280805.6382551,1784280807.0628989,1784280806.3505769,1.10349443,"[dac] CH_A set to -0.360 V (code=31587)
"
86,58,42,-0.36021771432376504,-0.49077119052486307,-0.13055347620109803,1784280807.063125,1784280808.4849558,1784280807.7740402,1.00160762,"[dac] CH_A set to -0.491 V (code=31159)
"
87,58,43,-0.49077119052486307,-0.621324666725962,-0.13055347620109892,1784280808.485146,1784280809.913028,1784280809.1990871,0.965410994,"[dac] CH_A set to -0.621 V (code=30732)
"
88,58,44,-0.621324666725962,-0.7518781429270609,-0.13055347620109892,1784280809.913236,1784280811.336697,1784280810.6249666,0.933236213,"[dac] CH_A set to -0.752 V (code=30304)
"
89,58,45,-0.7518781429270609,-0.8824316191281589,-0.13055347620109803,1784280811.336926,1784280812.755073,1784280812.0459995,0.874249115,"[dac] CH_A set to -0.882 V (code=29876)
"
90,58,46,-0.8824316191281589,-1.0129850953292578,-0.13055347620109892,1784280812.755307,1784280814.171802,1784280813.4635544,0.809899554,"[dac] CH_A set to -1.013 V (code=29448)
"
91,58,47,-1.0129850953292578,-1.1435385715303568,-0.13055347620109892,1784280814.1720881,1784280815.596847,1784280814.8844676,0.732143835,"[dac] CH_A set to -1.143 V (code=29021)
"
92,58,48,-1.1435385715303568,-1.2740920477314557,-0.13055347620109892,1784280815.59708,1784280817.019626,1784280816.308353,0.720078292,"[dac] CH_A set to -1.274 V (code=28593)
"
93,58,49,-1.2740920477314557,-1.4046455239325546,-0.13055347620109892,1784280817.0198731,1784280818.442858,1784280817.7313657,0.624894566,"[dac] CH_A set to -1.405 V (code=28165)
"
94,58,50,-1.4046455239325546,-1.5351990001336526,-0.13055347620109803,1784280818.443064,1784280819.866236,1784280819.15465,0.555182542,"[dac] CH_A set to -1.535 V (code=27737)
"
95,58,51,-1.5351990001336526,-1.6657524763347515,-0.13055347620109892,1784280819.866431,1784280821.2864158,1784280820.5764234,0.55250131,"[dac] CH_A set to -1.666 V (code=27309)
"
96,58,52,-1.6657524763347515,-1.7963059525358505,-0.13055347620109892,1784280821.286664,1784280822.706393,1784280821.9965286,0.485470517,"[dac] CH_A set to -1.796 V (code=26881)
"
97,58,53,-1.7963059525358505,-1.9268594287369485,-0.13055347620109803,1784280822.7065878,1784280824.119773,1784280823.4131804,0.409055413,"[dac] CH_A set to -1.927 V (code=26454)
"
98,58,54,-1.9268594287369485,-2.0574129049380474,-0.13055347620109892,1784280824.119992,1784280825.547138,1784280824.833565,0.352749547,"[dac] CH_A set to -2.057 V (code=26026)
"
99,58,55,-2.0574129049380474,-2.1879663811391463,-0.13055347620109892,1784280825.547368,1784280826.963833,1784280826.2556005,0.331299694,"[dac] CH_A set to -2.188 V (code=25598)
"
100,58,56,-2.1879663811391463,-2.3185198573402452,-0.13055347620109892,1784280826.964024,1784280828.39068,1784280827.677352,0.27097198,"[dac] CH_A set to -2.319 V (code=25170)
"
101,58,57,-2.3185198573402452,-2.449073333541344,-0.13055347620109892,1784280828.390899,1784280829.804847,1784280829.097873,0.220028577,"[dac] CH_A set to -2.449 V (code=24742)
"
102,58,58,-2.449073333541344,-2.579626809742442,-0.13055347620109803,1784280829.805033,1784280831.229825,1784280830.5174289,0.185172565,"[dac] CH_A set to -2.580 V (code=24315)
"
103,58,59,-2.579626809742442,-2.710180285943541,-0.13055347620109892,1784280831.230152,1784280832.653301,1784280831.9417264,0.140932242,"[dac] CH_A set to -2.710 V (code=23887)
"
104,58,60,-2.710180285943541,-2.84073376214464,-0.13055347620109892,1784280832.653517,1784280834.076033,1784280833.3647752,0.118141772,"[dac] CH_A set to -2.841 V (code=23459)
"
105,58,61,-2.84073376214464,-2.971287238345738,-0.13055347620109803,1784280834.0762439,1784280835.4984472,1784280834.7873454,0.0739014491,"[dac] CH_A set to -2.971 V (code=23031)
"
106,58,62,-2.971287238345738,-3.101840714546837,-0.13055347620109892,1784280835.4986382,1784280836.922302,1784280836.2104702,0.0604952905,"[dac] CH_A set to -3.102 V (code=22604)
"
107,58,63,-3.101840714546837,-3.232394190747936,-0.13055347620109892,1784280836.92256,1784280838.343541,1784280837.6330504,0.0524515954,"[dac] CH_A set to -3.232 V (code=22176)
"
108,58,64,-3.232394190747936,-3.362947666949035,-0.13055347620109892,1784280838.34371,1784280839.769143,1784280839.0564265,0.0350235893,"[dac] CH_A set to -3.363 V (code=21748)
"
