sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
627,94,3,-0.1169135086762626,0.00770571860660435,0.12461922728286695,1784350309.129941,1784350310.5785978,1784350309.8542695,1.16382214,"[dac] CH_A set to +0.008 V (code=32793)
"
628,94,4,0.00770571860660435,0.1323249458894713,0.12461922728286695,1784350310.578849,1784350312.011648,1784350311.2952485,1.22414985,"[dac] CH_A set to +0.132 V (code=33201)
"
629,94,5,0.1323249458894713,0.2569441731723383,0.124619227282867,1784350312.0118651,1784350313.446435,1784350312.72915,1.24023724,"[dac] CH_A set to +0.257 V (code=33609)
"
630,94,6,0.2569441731723383,0.3815634004552052,0.1246192272828669,1784350313.446662,1784350314.889247,1784350314.1679544,1.3126305,"[dac] CH_A set to +0.382 V (code=34018)
"
631,94,7,0.3815634004552052,0.5061826277380722,0.124619227282867,1784350314.889507,1784350316.321955,1784350315.605731,1.37429883,"[dac] CH_A set to +0.506 V (code=34426)
"
632,94,8,0.5061826277380722,0.6308018550209391,0.1246192272828669,1784350316.3221529,1784350317.752018,1784350317.0370855,1.42524223,"[dac] CH_A set to +0.631 V (code=34834)
"
633,94,9,0.6308018550209391,0.7554210823038061,0.124619227282867,1784350317.7522151,1784350319.179764,1784350318.4659896,1.4735044,"[dac] CH_A set to +0.755 V (code=35243)
"
634,94,10,0.7554210823038061,0.8800403095866731,0.124619227282867,1784350319.17994,1784350320.604356,1784350319.892148,1.51506349,"[dac] CH_A set to +0.880 V (code=35651)
"
635,94,11,0.8800403095866731,1.0046595368695401,0.124619227282867,1784350320.6054559,1784350322.057837,1784350321.3316464,1.53919458,"[dac] CH_A set to +1.005 V (code=36060)
"
636,94,12,1.0046595368695401,1.1292787641524071,0.124619227282867,1784350322.058037,1784350323.499135,1784350322.778586,1.58209429,"[dac] CH_A set to +1.129 V (code=36468)
"
637,94,13,1.1292787641524071,1.253897991435274,0.12461922728286678,1784350323.4993658,1784350324.932829,1784350324.2160974,1.61963153,"[dac] CH_A set to +1.254 V (code=36876)
"
638,94,14,1.253897991435274,1.378517218718141,0.124619227282867,1784350324.933053,1784350326.374582,1784350325.6538177,1.62901584,"[dac] CH_A set to +1.378 V (code=37285)
"
639,94,15,1.378517218718141,1.503136446001008,0.124619227282867,1784350326.3748,1784350327.804938,1784350327.089869,1.67057493,"[dac] CH_A set to +1.503 V (code=37693)
"
640,94,16,1.503136446001008,1.627755673283875,0.124619227282867,1784350327.80559,1784350329.2525282,1784350328.529059,1.70006848,"[dac] CH_A set to +1.628 V (code=38101)
"
641,94,17,1.627755673283875,1.7523749005667417,0.12461922728286678,1784350329.2527921,1784350330.693855,1784350329.9733236,1.70677156,"[dac] CH_A set to +1.752 V (code=38510)
"
642,94,18,1.7523749005667417,1.876994127849609,0.12461922728286723,1784350330.694123,1784350332.122255,1784350331.408189,1.70409033,"[dac] CH_A set to +1.877 V (code=38918)
"
643,94,19,1.876994127849609,2.0016133551324757,0.12461922728286678,1784350332.122457,1784350333.5670059,1784350332.8447313,1.71213403,"[dac] CH_A set to +2.002 V (code=39326)
"
644,94,20,2.0016133551324757,2.126232582415343,0.12461922728286723,1784350333.5672371,1784350335.00636,1784350334.2867985,1.7349245,"[dac] CH_A set to +2.126 V (code=39735)
"
645,94,21,2.126232582415343,2.2508518096982097,0.12461922728286678,1784350335.006593,1784350336.435724,1784350335.7211585,1.69470602,"[dac] CH_A set to +2.251 V (code=40143)
"
646,95,0,2.120298333497111,2.0550215953965614,-0.06527673810054946,1784350364.9296331,1784350366.356732,1784350365.6431825,1.69738725,"[dac] CH_A set to +2.055 V (code=39501)
"
647,95,1,2.0550215953965614,1.989744857296012,-0.06527673810054946,1784350366.356929,1784350367.796169,1784350367.076549,1.71079341,"[dac] CH_A set to +1.990 V (code=39287)
"
648,96,0,2.120298333497111,2.2508518096982093,0.13055347620109847,1784350396.337472,1784350397.7731788,1784350397.0553255,1.70677156,"[dac] CH_A set to +2.251 V (code=40143)
"
649,96,1,2.2508518096982093,2.3814052858993073,0.13055347620109803,1784350397.773428,1784350399.191508,1784350398.4824681,1.69202479,"[dac] CH_A set to +2.381 V (code=40571)
"
650,96,2,2.3814052858993073,2.511958762100406,0.13055347620109847,1784350399.191794,1784350400.624664,1784350399.9082289,1.67325617,"[dac] CH_A set to +2.512 V (code=40999)
"
651,97,0,2.6425122383015047,2.707788976402054,0.06527673810054946,1784350429.142876,1784350430.5674071,1784350429.8551416,1.60488476,"[dac] CH_A set to +2.708 V (code=41640)
"
652,97,1,2.707788976402054,2.7730657145026036,0.06527673810054946,1784350430.568466,1784350432.0082781,1784350431.288372,1.60354414,"[dac] CH_A set to +2.773 V (code=41854)
"
653,98,0,2.6425122383015047,2.5119587621004063,-0.13055347620109847,1784350460.532508,1784350461.9722261,1784350461.252367,1.66119062,"[dac] CH_A set to +2.512 V (code=40999)
"
654,98,1,2.5119587621004063,2.3814052858993073,-0.13055347620109892,1784350461.9724832,1784350463.406406,1784350462.6894445,1.69470602,"[dac] CH_A set to +2.381 V (code=40571)
"
655,98,2,2.3814052858993073,2.250851809698209,-0.13055347620109847,1784350463.406652,1784350464.8462222,1784350464.1264372,1.69738725,"[dac] CH_A set to +2.251 V (code=40143)
"
656,98,3,2.250851809698209,2.12029833349711,-0.13055347620109892,1784350464.846569,1784350466.276895,1784350465.561732,1.70274971,"[dac] CH_A set to +2.120 V (code=39715)
"
