dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
355,22,pre,3,1784346689.967233,1784346690.170142,1784346690.0686874,0.952004835
356,22,pre,4,1784346690.1703758,1784346690.370792,1784346690.2705839,0.938598677
357,22,pre,5,1784346690.3710022,1784346690.581187,1784346690.4760947,0.961389146
358,22,pre,6,1784346690.581398,1784346690.784558,1784346690.6829782,0.962729762
359,22,pre,7,1784346690.784776,1784346690.9949172,1784346690.8898466,0.952004835
360,22,post,0,1784346709.697393,1784346709.907576,1784346709.8024845,0.941279908
361,22,post,1,1784346709.9077928,1784346710.1157382,1784346710.0117655,0.931895597
362,22,post,2,1784346710.115965,1784346710.3162198,1784346710.2160923,0.938598677
363,22,post,3,1784346710.3164349,1784346710.526591,1784346710.421513,0.934576829
364,22,post,4,1784346710.526817,1784346710.733115,1784346710.629966,0.94396114
365,22,post,5,1784346710.733335,1784346710.934839,1784346710.834087,0.923851902
366,22,post,6,1784346710.9350479,1784346711.1376672,1784346711.0363574,0.954686067
367,22,post,7,1784346711.13788,1784346711.348036,1784346711.242958,0.925192518
368,23,pre,0,1784346720.749436,1784346720.959587,1784346720.8545115,0.90508328
369,23,pre,1,1784346720.9598532,1784346721.1618319,1784346721.0608425,0.931895597
370,23,pre,2,1784346721.1620219,1784346721.364628,1784346721.263325,0.897039585
371,23,pre,3,1784346721.364854,1784346721.566012,1784346721.4654331,0.934576829
372,23,pre,4,1784346721.566438,1784346721.76771,1784346721.667074,0.925192518
373,23,pre,5,1784346721.767922,1784346721.978038,1784346721.87298,0.915808207
374,23,pre,6,1784346721.978225,1784346722.18715,1784346722.0826874,0.934576829
375,23,pre,7,1784346722.187357,1784346722.389246,1784346722.2883015,0.917148823
376,23,post,0,1784346741.05503,1784346741.264566,1784346741.1597981,0.911786359
377,23,post,1,1784346741.264798,1784346741.4749398,1784346741.3698688,0.933236213
378,23,post,2,1784346741.475167,1784346741.6854038,1784346741.5802855,0.883633426
379,23,post,3,1784346741.685727,1784346741.8958888,1784346741.7908077,0.895698969
380,23,post,4,1784346741.896095,1784346742.099485,1784346741.9977899,0.914467591
381,23,post,5,1784346742.0996978,1784346742.309877,1784346742.2047873,0.891677122
