window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
49,120,1,formal,up,66,60,0,4.20915395271469,1784282927.92339,1784282928.9559948,1784282928.4396925,0.835616,-0.363986,-0.615735,0.001847,-0.001034,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5122747,5195409,0,0,0,0,1
50,120,2,formal,up,66,60,0,4.20915395271469,1784282928.95623,1784282929.9720802,1784282929.4641552,0.83462,-0.364019,-0.615951,0.001729,-0.001055,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5121985,5214209,0,0,0,0,1
51,120,3,formal,up,66,60,0,4.20915395271469,1784282929.972286,1784282931.005455,1784282930.4888706,0.832689,-0.363645,-0.615327,0.001795,-0.000978,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5135450,5180250,0,0,0,0,1
52,121,0,formal,down,66,60,1,4.20915395271469,1784282940.0000541,1784282941.0232499,1784282940.511652,0.823973,-0.363622,-0.615682,0.001811,-0.001066,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5162804,5187787,0,0,0,0,1
53,121,1,formal,down,66,60,1,4.20915395271469,1784282941.023486,1784282942.051614,1784282941.53755,0.823298,-0.36368,-0.615963,0.001831,-0.00103,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5226912,5217004,0,0,0,0,1
54,121,2,formal,down,66,60,1,4.20915395271469,1784282942.0518599,1784282943.089932,1784282942.570896,0.822677,-0.363685,-0.615909,0.001764,-0.001074,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5120122,5203623,0,0,0,0,1
55,121,3,formal,down,66,60,1,4.20915395271469,1784282943.090212,1784282944.115019,1784282943.6026156,0.821615,-0.363513,-0.615697,0.001849,-0.001202,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5129437,5220646,0,0,0,0,1
56,122,0,formal,down,14,61,0,-2.5796268097424426,1784283024.988072,1784283026.0057468,1784283025.4969094,0.20336,0.240267,0.406925,0.002526,-0.00542,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3436195,3362687,0,0,0,0,1
57,122,1,formal,down,14,61,0,-2.5796268097424426,1784283026.005999,1784283027.0342588,1784283026.520129,0.202502,0.239923,0.406323,0.002602,-0.005417,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3419512,3349475,0,0,0,0,1
58,122,2,formal,down,14,61,0,-2.5796268097424426,1784283027.034482,1784283028.061895,1784283027.5481884,0.201292,0.239105,0.405066,0.002586,-0.005442,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3416548,3335417,0,0,0,0,1
59,122,3,formal,down,14,61,0,-2.5796268097424426,1784283028.062124,1784283029.0962229,1784283028.5791736,0.200392,0.238738,0.404375,0.002582,-0.005444,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3402490,3332030,0,0,0,0,1
60,123,0,formal,up,14,61,1,-2.5796268097424426,1784283038.169406,1784283039.203385,1784283038.6863956,0.192514,0.23447,0.397546,0.002568,-0.005529,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3356758,3258860,0,0,0,0,1
61,123,1,formal,up,14,61,1,-2.5796268097424426,1784283039.2036648,1784283040.233253,1784283039.718459,0.192028,0.234312,0.397226,0.002576,-0.005504,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3356081,3258013,0,0,0,0,1
62,123,2,formal,up,14,61,1,-2.5796268097424426,1784283040.233502,1784283041.2696939,1784283040.751598,0.191312,0.233943,0.396595,0.002603,-0.00551,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3352609,3257759,0,0,0,0,1
