sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
85,110,54,3.3251204138672503,3.453808840408333,0.1286884265410828,1784282663.810059,1784282665.251712,1784282664.5308857,1.28447757,"[dac] CH_A set to +3.454 V (code=44085)
"
86,110,55,3.453808840408333,3.582497266949416,0.1286884265410828,1784282665.251956,1784282666.6944032,1784282665.9731796,1.20001877,"[dac] CH_A set to +3.582 V (code=44506)
"
87,110,56,3.582497266949416,3.7111856934904988,0.1286884265410828,1784282666.694643,1784282668.140408,1784282667.4175255,1.17856891,"[dac] CH_A set to +3.711 V (code=44928)
"
88,110,57,3.7111856934904988,3.8398741200315825,0.1286884265410837,1784282668.140686,1784282669.566504,1784282668.853595,1.0592541,"[dac] CH_A set to +3.840 V (code=45350)
"
89,110,58,3.8398741200315825,3.9685625465726653,0.1286884265410828,1784282669.5667121,1784282671.0181382,1784282670.2924252,1.04450733,"[dac] CH_A set to +3.969 V (code=45772)
"
90,110,59,3.9685625465726653,4.0972509731137485,0.12868842654108326,1784282671.018358,1784282672.450987,1784282671.7346725,0.978817152,"[dac] CH_A set to +4.097 V (code=46193)
"
91,110,60,4.0972509731137485,4.2259393996548305,0.12868842654108192,1784282672.4513159,1784282673.8934941,1784282673.172405,0.894358353,"[dac] CH_A set to +4.226 V (code=46615)
"
92,110,61,4.2259393996548305,4.354627826195914,0.1286884265410837,1784282673.893694,1784282675.3432472,1784282674.6184707,0.839393103,"[dac] CH_A set to +4.355 V (code=47036)
"
93,110,62,4.354627826195914,4.483316252736996,0.12868842654108192,1784282675.3434439,1784282676.771569,1784282676.0575066,0.742868762,"[dac] CH_A set to +4.483 V (code=47458)
"
94,110,63,4.483316252736996,4.61200467927808,0.1286884265410837,1784282676.77177,1784282678.203444,1784282677.487607,0.679859816,"[dac] CH_A set to +4.612 V (code=47880)
"
95,110,64,4.61200467927808,4.7406931058191635,0.1286884265410837,1784282678.203638,1784282679.636436,1784282678.920037,0.643663188,"[dac] CH_A set to +4.741 V (code=48302)
"
96,110,65,4.7406931058191635,4.869381532360245,0.12868842654108192,1784282679.636648,1784282681.0763788,1784282680.3565135,0.579313627,"[dac] CH_A set to +4.869 V (code=48723)
"
97,110,66,4.869381532360245,4.998069958901329,0.1286884265410837,1784282681.0766342,1784282682.515535,1784282681.7960846,0.485470517,"[dac] CH_A set to +4.998 V (code=49145)
"
98,110,67,4.998069958901329,5.126758385442411,0.12868842654108192,1784282682.515739,1784282683.947464,1784282683.2316015,0.457317584,"[dac] CH_A set to +5.127 V (code=49567)
"
99,110,68,5.126758385442411,5.255446811983495,0.1286884265410837,1784282683.947691,1784282685.388272,1784282684.6679816,0.394308639,"[dac] CH_A set to +5.255 V (code=49988)
"
100,110,69,5.255446811983495,5.384135238524578,0.1286884265410837,1784282685.388521,1784282686.832725,1784282686.110623,0.320574767,"[dac] CH_A set to +5.384 V (code=50410)
"
101,111,0,5.2535817623234795,5.18830502422293,-0.06527673810054946,1784282697.071409,1784282698.513821,1784282697.792615,0.414417877,"[dac] CH_A set to +5.188 V (code=49768)
"
102,111,1,5.18830502422293,5.123028286122381,-0.06527673810054946,1784282698.5139961,1784282699.9589472,1784282699.2364717,0.455976968,"[dac] CH_A set to +5.123 V (code=49554)
"
103,112,0,5.2535817623234795,5.127108082253665,-0.12647368006981452,1784282710.214635,1784282711.6490922,1784282710.9318635,0.425142804,"[dac] CH_A set to +5.127 V (code=49568)
"
104,112,1,5.127108082253665,5.0006344021838505,-0.12647368006981452,1784282711.6493068,1784282713.090838,1784282712.3700724,0.443911426,"[dac] CH_A set to +5.001 V (code=49153)
"
105,112,2,5.0006344021838505,4.874160722114036,-0.12647368006981452,1784282713.091073,1784282714.5253062,1784282713.8081896,0.521667145,"[dac] CH_A set to +4.874 V (code=48739)
"
106,112,3,4.874160722114036,4.747687042044222,-0.12647368006981363,1784282714.525506,1784282715.9739552,1784282715.2497306,0.545798231,"[dac] CH_A set to +4.748 V (code=48325)
"
107,112,4,4.747687042044222,4.621213361974408,-0.12647368006981452,1784282715.97424,1784282717.4076211,1784282716.6909306,0.639641341,"[dac] CH_A set to +4.621 V (code=47910)
"
108,112,5,4.621213361974408,4.494739681904593,-0.12647368006981452,1784282717.407825,1784282718.840988,1784282718.1244063,0.708012749,"[dac] CH_A set to +4.495 V (code=47496)
"
109,112,6,4.494739681904593,4.368266001834779,-0.12647368006981452,1784282718.841177,1784282720.2733572,1784282719.5572672,0.793812164,"[dac] CH_A set to +4.368 V (code=47081)
"
110,112,7,4.368266001834779,4.241792321764964,-0.12647368006981452,1784282720.273553,1784282721.697509,1784282720.9855309,0.825986945,"[dac] CH_A set to +4.242 V (code=46667)
"
111,112,8,4.241792321764964,4.115318641695151,-0.12647368006981363,1784282721.6977322,1784282723.124507,1784282722.4111195,0.907764512,"[dac] CH_A set to +4.115 V (code=46252)
"
112,112,9,4.115318641695151,3.9888449616253356,-0.12647368006981496,1784282723.124923,1784282724.549422,1784282723.8371725,0.970773457,"[dac] CH_A set to +3.989 V (code=45838)
"
113,112,10,3.9888449616253356,3.8623712815555216,-0.12647368006981408,1784282724.549621,1784282725.991078,1784282725.2703495,1.00160762,"[dac] CH_A set to +3.862 V (code=45424)
"
114,112,11,3.8623712815555216,3.735897601485707,-0.12647368006981452,1784282725.991338,1784282727.440852,1784282726.716095,1.04316671,"[dac] CH_A set to +3.736 V (code=45009)
"
