kind,epoch,direction,index,bias,timestamp_unix,dc_dmm,dc_board,I1,Q1,I2,Q2
formal,0,down,28,2.3814052858993078,1784191534.264853,1.35821144,1.2,-0.349983,-0.591684,-0.007501,0.015442
formal,0,down,29,2.250851809698209,1784191536.090915,1.39440807,1.2,-0.311295,-0.526287,-0.008478,0.017179
formal,0,down,30,2.120298333497111,1784191537.9130728,1.3970893,1.2,-0.271237,-0.459029,-0.009115,0.017906
formal,0,down,31,1.989744857296012,1784191539.729455,1.43998901,1.2,-0.230212,-0.389657,-0.010132,0.019572
formal,0,down,32,1.859191381094913,1784191541.5577018,1.43864839,1.2,-0.187185,-0.317318,-0.010144,0.019565
formal,0,down,33,1.728637904893814,1784191543.369131,1.47216379,1.2,-0.142941,-0.242223,-0.010192,0.019481
formal,0,down,34,1.5980844286927152,1784191545.193119,1.46143886,1.2,-0.097449,-0.165332,-0.010335,0.019585
formal,0,down,35,1.4675309524916171,1784191547.020709,1.48556995,1.2,-0.051694,-0.087765,-0.010583,0.019856
formal,0,down,36,1.3369774762905182,1784191548.8323798,1.44267024,1.2,-0.005886,-0.010079,-0.010823,0.020053
formal,0,down,37,1.2064240000894193,1784191550.664663,1.48959179,1.2,0.039945,0.067994,-0.010906,0.019949
formal,0,down,38,1.0758705238883213,1784191552.501614,1.45473578,1.2,0.086028,0.146063,-0.010822,0.019767
formal,0,down,39,0.9453170476872224,1784191554.324345,1.4480327,1.2,0.131495,0.223155,-0.011052,0.019937
formal,0,down,40,0.8147635714861234,1784191556.155566,1.47752625,1.2,0.17594,0.298384,-0.01116,0.019932
formal,0,down,41,0.6842100952850245,1784191557.961214,1.42658285,1.2,0.218988,0.371149,-0.010613,0.018973
formal,0,down,42,0.5536566190839256,1784191559.787735,1.3970893,1.2,0.261368,0.442616,-0.010306,0.018149
formal,0,down,43,0.4231031428828276,1784191561.6055622,1.40111115,1.2,0.302335,0.511879,-0.009113,0.01623
formal,0,down,44,0.29254966668172866,1784191563.427686,1.32737727,1.2,0.341811,0.578296,-0.009009,0.0155
formal,0,down,45,0.16199619048062974,1784191565.240969,1.28849942,1.2,0.37856,0.640588,-0.008171,0.014043
formal,0,down,46,0.031442714279531714,1784191567.064529,1.26570895,1.2,0.409421,0.691891,-0.006208,0.010075
formal,0,down,47,-0.0991107619215672,1784191568.884774,1.23219355,1.2,0.438914,0.741992,-0.003497,0.005193
formal,0,down,48,-0.22966423812266612,1784191570.697401,1.16114091,1.180793,0.463639,0.783536,0.001222,-0.00305
formal,0,down,49,-0.36021771432376504,1784191572.512583,1.14237229,1.13475,0.485551,0.820672,0.004915,-0.010114
formal,0,down,50,-0.4907711905248635,1784191574.335814,1.08606642,1.085614,0.504185,0.852056,0.010062,-0.019173
formal,0,down,51,-0.621324666725962,1784191576.167008,1.06327595,1.033513,0.518861,0.876223,0.012974,-0.025513
formal,0,down,52,-0.7518781429270609,1784191577.984179,0.978817152,0.9808,0.529982,0.894173,0.016553,-0.031439
formal,0,down,53,-0.8824316191281598,1784191579.804659,0.914467591,0.927039,0.538401,0.908818,0.020337,-0.038981
formal,0,down,54,-1.0129850953292583,1784191581.632595,0.879611579,0.871171,0.542616,0.914711,0.025229,-0.048258
formal,0,down,55,-1.1435385715303568,1784191583.45914,0.831349408,0.814677,0.545478,0.919834,0.029708,-0.05558
formal,0,down,56,-1.2740920477314557,1784191585.281002,0.736165682,0.758157,0.545592,0.920126,0.031841,-0.060008
formal,0,down,57,-1.4046455239325546,1784191587.0942159,0.718737676,0.7005,0.54368,0.916328,0.033992,-0.063332
formal,0,down,58,-1.535199000133653,1784191588.938051,0.636960109,0.643798,0.539203,0.908036,0.032643,-0.061753
formal,0,down,59,-1.6657524763347515,1784191590.75284,0.596741633,0.587807,0.533457,0.898517,0.031285,-0.059647
formal,0,down,60,-1.7963059525358505,1784191592.574782,0.555182542,0.531508,0.525147,0.884515,0.030742,-0.057972
formal,0,down,61,-1.9268594287369494,1784191594.3941739,0.439889578,0.477117,0.514475,0.86689,0.028883,-0.054462
formal,0,down,62,-2.057412904938048,1784191596.213207,0.418439724,0.423724,0.50121,0.843989,0.027221,-0.051444
formal,0,down,63,-2.1879663811391463,1784191598.0369961,0.360793242,0.372436,0.486752,0.819569,0.022793,-0.043758
formal,0,down,64,-2.3185198573402452,1784191599.864309,0.338002773,0.323017,0.466985,0.786743,0.018303,-0.035129
formal,0,down,65,-2.449073333541344,1784191601.682621,0.264268901,0.27636,0.444415,0.748398,0.014627,-0.028661
formal,0,down,66,-2.5796268097424426,1784191603.515858,0.240137815,0.232741,0.418901,0.706273,0.011704,-0.023252
formal,0,down,67,-2.710180285943541,1784191605.334452,0.166403943,0.192171,0.388383,0.655116,0.010879,-0.020988
formal,0,down,68,-2.84073376214464,1784191607.147274,0.123504236,0.15476,0.35394,0.596929,0.00919,-0.018109
formal,0,down,69,-2.971287238345739,1784191608.964449,0.140932242,0.120743,0.316086,0.533578,0.009016,-0.01742
formal,0,down,70,-3.1018407145468374,1784191610.7793121,0.10607623,0.090611,0.274114,0.46271,0.008747,-0.017106
formal,0,down,71,-3.232394190747936,1784191612.614648,0.0591546747,0.064449,0.230644,0.389622,0.009055,-0.017574
formal,0,down,72,-3.362947666949035,1784191614.444066,0.0698796015,0.042589,0.186241,0.314628,0.010099,-0.019224
formal,0,down,73,-3.4935011431501337,1784191616.246009,0.037704821,0.025065,0.140641,0.237672,0.010428,-0.01973
formal,0,down,74,-3.624054619351232,1784191618.067599,-0.0118975603,0.012154,0.094258,0.159719,0.010883,-0.020263
formal,0,down,75,-3.7546080955523307,1784191619.906246,-0.0226221218,0.003699,0.047152,0.079927,0.010914,-0.020377
formal,0,down,76,-3.8851615717534296,1784191621.731062,0.0229580465,-3.6e-05,-0.000551,-0.000865,0.011005,-0.020275
formal,0,down,77,-4.0157150479545285,1784191623.537525,-0.0105569902,0.000887,-0.047726,-0.080696,0.011005,-0.020204
formal,0,down,78,-4.1462685241556265,1784191625.34516,0.000167665484,0.006445,-0.094925,-0.160552,0.010988,-0.020089
formal,0,down,79,-4.276822000356725,1784191627.17116,-0.00251306376,0.016707,-0.141596,-0.239163,0.01048,-0.019185
formal,0,down,80,-4.407375476557824,1784191628.997345,0.0618359064,0.031445,-0.187584,-0.316934,0.01038,-0.0188
formal,1,up,0,-4.407375476557824,1784191630.821572,0.0390454368,0.037592,-0.190812,-0.322999,0.010179,-0.018919
formal,1,up,1,-4.276822000356725,1784191632.638289,0.0604952905,0.027802,-0.150479,-0.254879,0.010403,-0.019432
formal,1,up,2,-4.1462685241556265,1784191634.459291,0.0162551928,0.015169,-0.108484,-0.18388,0.010871,-0.020231
formal,1,up,3,-4.0157150479545285,1784191636.287488,0.0336829734,0.006167,-0.065366,-0.110691,0.010852,-0.020267
formal,1,up,4,-3.8851615717534296,1784191638.1130939,-0.00921641997,0.000982,-0.021978,-0.037255,0.011031,-0.02037
formal,1,up,5,-3.7546080955523307,1784191639.933853,0.0350235893,-0.000259,0.022295,0.037786,0.011059,-0.020285
formal,1,up,6,-3.624054619351232,1784191641.754793,0.0108925038,0.002447,0.066502,0.112544,0.011025,-0.020227
formal,1,up,7,-3.4935011431501337,1784191643.566977,0.0229580465,0.009222,0.110371,0.186617,0.010758,-0.019695
formal,1,up,8,-3.362947666949035,1784191645.389293,0.00687069909,0.01995,0.153547,0.259446,0.01047,-0.01917
formal,1,up,9,-3.232394190747936,1784191647.204579,0.0350235893,0.034557,0.196063,0.331325,0.009711,-0.017852
formal,1,up,10,-3.1018407145468374,1784191649.017369,0.0430672844,0.053181,0.238429,0.402643,0.00944,-0.017302
formal,1,up,11,-2.971287238345739,1784191650.8459918,0.108757461,0.075553,0.279334,0.471592,0.009677,-0.017477
formal,1,up,12,-2.84073376214464,1784191652.6707819,0.130207315,0.101893,0.318013,0.536287,0.009544,-0.017222
formal,1,up,13,-2.710180285943541,1784191654.4991539,0.173107022,0.131821,0.354845,0.598171,0.008843,-0.015761
formal,1,up,14,-2.5796268097424426,1784191656.326515,0.224050425,0.165371,0.388312,0.654045,0.005132,-0.009764
formal,1,up,15,-2.449073333541344,1784191658.151702,0.187853797,0.202414,0.417844,0.703618,0.001215,-0.002658
formal,1,up,16,-2.3185198573402452,1784191659.962522,0.256225206,0.241973,0.442942,0.746517,-0.003264,0.006528
formal,1,up,17,-2.1879663811391463,1784191661.770313,0.258906437,0.284245,0.465043,0.782933,-0.007307,0.014047
formal,1,up,18,-2.057412904938048,1784191663.586805,0.338002773,0.330236,0.483137,0.813722,-0.012037,0.022654
formal,1,up,19,-1.9268594287369494,1784191665.4097059,0.406374182,0.378095,0.49805,0.838924,-0.01754,0.032136
formal,1,up,20,-1.7963059525358505,1784191667.216458,0.500217291,0.427672,0.509703,0.857885,-0.022551,0.041942
formal,1,up,21,-1.6657524763347515,1784191669.0384262,0.508260987,0.480665,0.520705,0.877197,-0.02824,0.05217
formal,1,up,22,-1.535199000133653,1784191670.859843,0.520326529,0.533964,0.529521,0.89162,-0.031403,0.058249
formal,1,up,23,-1.4046455239325546,1784191672.68484,0.618191487,0.589006,0.536627,0.902889,-0.034417,0.064199
formal,1,up,24,-1.2740920477314557,1784191674.510449,0.619532103,0.644929,0.540128,0.909146,-0.035547,0.065727
formal,1,up,25,-1.1435385715303568,1784191676.340967,0.706672133,0.701533,0.542594,0.913788,-0.035345,0.065265
formal,1,up,26,-1.0129850953292583,1784191678.162399,0.780406006,0.757481,0.542945,0.914921,-0.03566,0.065732
formal,1,up,27,-0.8824316191281598,1784191679.988399,0.897039585,0.813994,0.542111,0.913347,-0.034473,0.063694
formal,1,up,28,-0.7518781429270609,1784191681.806432,0.917148823,0.869229,0.539158,0.909085,-0.033051,0.061228
