role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
formal,up,69,11,1,23,4.600814381317985,4.470260905116886,0.5,1784277159.767464,1784277161.2021592,23,True,1784277165.651504,1784277166.5257359,1784277166.526028,1784277166.73618,1784277166.631104,0.594060401,1784277166.736183,1784277170.8374012,1784277168.7840889,1784277170.837613,1784277171.038462,1784277170.9380374,0.592719786,0.4998881236593937,0.5933902434831003,0.5767432499999999,-0.38926924999999996,-0.658222,0.0016395000000000001,-0.00108625,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5431094,5472591,0,0,0,0,4
formal,up,56,12,0,24,2.9036191907037026,2.7730657145026036,0.5,1784277190.460055,1784277191.8946528,24,True,1784277196.018357,1784277196.890249,1784277196.8904479,1784277197.09508,1784277196.992764,1.26436833,1784277197.095083,1784277201.2051818,1784277199.154942,1784277201.205407,1784277201.406187,1784277201.305797,1.22549047,0.5013126464469215,1.244878367115207,1.2,-0.2887155,-0.48950974999999997,-0.00226075,0.0054652500000000005,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4041033,4234036,0,0,0,0,4
formal,down,56,12,1,25,2.9036191907037026,3.0341726669048015,0.5,1784277203.5679219,1784277205.009017,25,True,1784277209.151566,1784277210.0110872,1784277210.01137,1784277210.216595,1784277210.1139824,1.27375264,1784277210.216598,1784277214.3429272,1784277212.2768388,1784277214.343141,1784277214.553304,1784277214.4482226,1.25230279,0.4990162615673222,1.2630488160418203,1.2,-0.28931325,-0.490861,-0.0022569999999999995,0.0054875,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4129193,4244114,0,0,0,0,4
formal,down,24,13,0,26,-1.2740920477314557,-1.1435385715303568,0.5,1784277258.4403222,1784277259.875181,26,True,1784277263.990916,1784277264.859744,1784277264.8599522,1784277265.0700958,1784277264.965024,0.702650286,1784277265.0700989,1784277269.213373,1784277267.1406317,1784277269.213575,1784277269.423732,1784277269.3186536,0.699969054,0.4997227340449406,0.7013104134143512,0.6695102500000001,0.397172,0.67239375,-0.0019405,0.00146925,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5644168,5679313,0,0,0,0,4
formal,up,24,13,1,27,-1.2740920477314557,-1.4046455239325546,0.5,1784277271.5954251,1784277273.044428,27,True,1784277277.1587572,1784277278.026541,1784277278.026825,1784277278.236989,1784277278.131907,0.675837969,1784277278.236992,1784277282.384786,1784277280.3102908,1784277282.385012,1784277282.595166,1784277282.490089,0.647685036,0.4998377420876018,0.6617660705361366,0.65911075,0.39643025,0.671704,-0.00193275,0.00137175,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5651451,5650519,0,0,0,0,4
formal,up,25,14,0,28,-1.1435385715303568,-1.2740920477314557,0.5,1784277283.3181398,1784277284.7643368,28,True,1784277288.888661,1784277289.7575989,1784277289.7578182,1784277289.959809,1784277289.8588138,0.750912457,1784277289.9598122,1784277294.068079,1784277292.0095143,1784277294.068279,1784277294.278433,1784277294.173356,0.722759524,0.4984771090015076,0.7368788643482468,0.7094892500000001,0.39875875,0.67585575,-0.00222825,0.0020155,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5637732,5646370,0,0,0,0,4
formal,down,25,14,1,29,-1.1435385715303568,-1.0129850953292578,0.5,1784277296.4350688,1784277297.864521,29,True,1784277302.012171,1784277302.8843148,1784277302.884618,1784277303.09477,1784277302.989694,0.722759524,1784277303.094773,1784277307.216795,1784277305.156728,1784277307.216995,1784277307.427149,1784277307.322072,0.726781371,0.50019503271916,0.7247712318917564,0.70411175,0.39821225,0.67548175,-0.00215975,0.00193425,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5630787,5652383,0,0,0,0,4
formal,down,55,15,0,30,2.7730657145026036,2.9036191907037026,0.5,1784277351.254668,1784277352.705224,30,True,1784277356.83442,1784277357.70221,1784277357.702435,1784277357.9126458,1784277357.8075404,1.30190557,1784277357.912648,1784277362.022391,1784277359.9696922,1784277362.022593,1784277362.232793,1784277362.1276932,1.28313695,0.5004804074870941,1.2925122434144296,1.2,-0.25647725,-0.43556,-0.00191575,0.00518325,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3603199,3817204,0,0,0,0,4
formal,up,55,15,1,31,2.7730657145026036,2.6425122383015047,0.5,1784277364.3895,1784277365.831222,31,True,1784277369.937959,1784277370.817638,1784277370.817888,1784277371.028085,1784277370.9229865,1.28984003,1784277371.028088,1784277375.17161,1784277373.0977294,1784277375.171814,1784277375.38196,1784277375.276887,1.30324619,0.49949303406462814,1.296536313533556,1.2,-0.2599825,-0.44192175,-0.001841,0.005088,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3680095,3848623,0,0,0,0,4
formal,up,64,16,0,32,3.948047000312492,3.817493524111393,0.5,1784277386.1585438,1784277387.599841,32,True,1784277391.720899,1784277392.5996852,1784277392.599926,1784277392.808691,1784277392.7043085,0.874249115,1784277392.8086941,1784277396.8841689,1784277394.8426077,1784277396.884462,1784277397.094614,1784277396.9895382,0.855480493,0.498992909360841,0.8648837057035261,0.8485419999999999,-0.39513475,-0.6683112499999999,-0.00125725,0.00419075,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5495965,5635614,0,0,0,0,4
formal,down,64,16,1,33,3.948047000312492,4.078600476513591,0.5,1784277399.259349,1784277400.701329,33,True,1784277404.843887,1784277405.7124732,1784277405.712685,1784277405.91624,1784277405.8144627,0.838052487,1784277405.9162428,1784277410.045463,1784277407.9801354,1784277410.0456991,1784277410.2475898,1784277410.1466446,0.851458646,0.4999034698462694,0.8447542724014108,0.84089975,-0.3966315,-0.67155925,-0.0012374999999999999,0.004043,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5561767,5676688,0,0,0,0,4
formal,down,16,17,0,34,-2.3185198573402452,-2.1879663811391463,0.5,1784277476.961161,1784277478.39282,34,True,1784277482.540729,1784277483.416245,1784277483.416468,1784277483.626634,1784277483.521551,0.262928285,1784277483.626636,1784277487.75613,1784277485.6960611,1784277487.756435,1784277487.9612532,1784277487.858844,0.276334443,0.5013519184279883,0.2696494880320487,0.25688025,0.30392,0.514386,0.0035369999999999998,-0.0076890000000000005,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4378174,4236662,0,0,0,0,4
