dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
142,116,post,6,1784367847.317496,1784367847.527099,1784367847.4222975,0.902402048
143,116,post,7,1784367847.527273,1784367847.737406,1784367847.6323395,0.937258061
144,117,pre,0,1784367857.1080241,1784367857.318178,1784367857.213101,0.88899589
145,117,pre,1,1784367857.318374,1784367857.5242062,1784367857.42129,0.893017737
146,117,pre,2,1784367857.524406,1784367857.7345548,1784367857.6294804,0.890336506
147,117,pre,3,1784367857.734743,1784367857.936397,1784367857.83557,0.911786359
148,117,pre,4,1784367857.93661,1784367858.139453,1784367858.0380316,0.915808207
149,117,pre,5,1784367858.139626,1784367858.347935,1784367858.2437806,0.897039585
150,117,pre,6,1784367858.348195,1784367858.5583518,1784367858.4532733,0.917148823
151,117,pre,7,1784367858.5585651,1784367858.765785,1784367858.6621752,0.92117067
152,117,post,0,1784367877.475196,1784367877.682625,1784367877.5789104,0.910445744
153,117,post,1,1784367877.682813,1784367877.8929658,1784367877.7878895,0.925192518
154,117,post,2,1784367877.8931541,1784367878.098924,1784367877.996039,0.934576829
155,117,post,3,1784367878.0991192,1784367878.2995148,1784367878.199317,0.909105128
156,117,post,4,1784367878.299768,1784367878.50993,1784367878.404849,0.913126975
157,117,post,5,1784367878.510131,1784367878.71521,1784367878.6126704,0.882292811
158,117,post,6,1784367878.715399,1784367878.9168088,1784367878.816104,0.899720817
159,117,post,7,1784367878.916995,1784367879.12308,1784367879.0200377,0.909105128
160,118,pre,0,1784367914.350587,1784367914.5538208,1784367914.4522038,1.59684106
161,118,pre,1,1784367914.554826,1784367914.757646,1784367914.6562362,1.6169503
162,118,pre,2,1784367914.758003,1784367914.9682162,1784367914.8631096,1.6169503
163,118,pre,3,1784367914.968412,1784367915.17856,1784367915.0734859,1.61024722
164,118,pre,4,1784367915.178735,1784367915.382724,1784367915.2807295,1.60622537
165,118,pre,5,1784367915.382912,1784367915.583617,1784367915.4832644,1.63035646
166,118,pre,6,1784367915.5838249,1784367915.791021,1784367915.687423,1.61292845
167,118,pre,7,1784367915.791355,1784367915.997698,1784367915.8945265,1.59281921
168,118,post,0,1784367934.689732,1784367934.89827,1784367934.794001,1.59281921
169,118,post,1,1784367934.898456,1784367935.1064472,1784367935.0024517,1.60354414
170,118,post,2,1784367935.1066308,1784367935.315381,1784367935.211006,1.5914786
171,118,post,3,1784367935.3155708,1784367935.5221791,1784367935.418875,1.58611614
172,118,post,4,1784367935.522368,1784367935.73249,1784367935.627429,1.58745675
173,118,post,5,1784367935.732672,1784367935.942791,1784367935.8377314,1.60756599
174,118,post,6,1784367935.9429839,1784367936.153087,1784367936.0480354,1.60354414
175,118,post,7,1784367936.153258,1784367936.3563,1784367936.254779,1.58879737
176,119,pre,0,1784367945.758167,1784367945.965178,1784367945.8616724,1.60488476
177,119,pre,1,1784367945.965454,1784367946.1736178,1784367946.069536,1.61292845
178,119,pre,2,1784367946.1739352,1784367946.380791,1784367946.277363,1.60756599
179,119,pre,3,1784367946.380963,1784367946.591089,1784367946.486026,1.6169503
180,119,pre,4,1784367946.591291,1784367946.798877,1784367946.695084,1.60622537
181,119,pre,5,1784367946.7990952,1784367947.009223,1784367946.904159,1.59281921
182,119,pre,6,1784367947.009401,1784367947.219531,1784367947.1144662,1.58075367
183,119,pre,7,1784367947.2198029,1784367947.423327,1784367947.321565,1.64376262
184,119,post,0,1784367965.497439,1784367965.6980429,1784367965.597741,1.61158784
185,119,post,1,1784367965.698478,1784367965.9086158,1784367965.803547,1.60354414
186,119,post,2,1784367965.9088151,1784367966.118936,1784367966.0138755,1.62901584
187,119,post,3,1784367966.11912,1784367966.321273,1784367966.2201965,1.61426907
188,119,post,4,1784367966.321461,1784367966.531453,1784367966.426457,1.60622537
189,119,post,5,1784367966.5316532,1784367966.741792,1784367966.6367226,1.56868813
190,119,post,6,1784367966.741977,1784367966.9516459,1784367966.8468113,1.59415983
191,119,post,7,1784367966.951892,1784367967.1620212,1784367967.0569565,1.6169503
192,120,pre,0,1784367996.710058,1784367996.919214,1784367996.814636,0.99892639
193,120,pre,1,1784367996.920518,1784367997.123839,1784367997.0221784,0.992223311
194,120,pre,2,1784367997.124189,1784367997.334338,1784367997.2292633,1.01903563
195,120,pre,3,1784367997.334526,1784367997.537191,1784367997.4358585,0.994904543
196,120,pre,4,1784367997.537382,1784367997.747571,1784367997.6424766,1.02037624
197,120,pre,5,1784367997.747801,1784367997.949671,1784367997.848736,1.01903563
198,120,pre,6,1784367997.949862,1784367998.1599948,1784367998.0549283,1.0083107
199,120,pre,7,1784367998.160178,1784367998.365207,1784367998.2626925,1.01367316
200,120,post,0,1784368017.033961,1784368017.237792,1784368017.1358767,0.965410994
201,120,post,1,1784368017.238036,1784368017.442379,1784368017.3402076,0.99892639
202,120,post,2,1784368017.442646,1784368017.645887,1784368017.5442665,1.00026701
203,120,post,3,1784368017.646061,1784368017.856216,1784368017.7511384,0.988201463
204,120,post,4,1784368017.856469,1784368018.065208,1784368017.9608383,0.985520232
205,120,post,5,1784368018.065415,1784368018.2736168,1784368018.1695158,0.982839
206,120,post,6,1784368018.27383,1784368018.478045,1784368018.3759375,0.981498384
207,120,post,7,1784368018.4782138,1784368018.6803699,1784368018.5792918,1.00562947
208,121,pre,0,1784368028.093153,1784368028.2991621,1784368028.1961575,1.00160762
209,121,pre,1,1784368028.29938,1784368028.499976,1784368028.399678,0.981498384
210,121,pre,2,1784368028.500166,1784368028.704609,1784368028.6023874,0.992223311
211,121,pre,3,1784368028.704782,1784368028.914884,1784368028.809833,0.993563927
212,121,pre,4,1784368028.9150999,1784368029.116149,1784368029.0156245,0.984179616
213,121,pre,5,1784368029.1163142,1784368029.326433,1784368029.2213736,0.974795305
214,121,pre,6,1784368029.326636,1784368029.532007,1784368029.4293215,0.99892639
215,121,pre,7,1784368029.5322108,1784368029.7362509,1784368029.6342309,0.976135921
216,121,post,0,1784368048.4311512,1784368048.63929,1784368048.5352206,0.994904543
217,121,post,1,1784368048.63946,1784368048.849558,1784368048.7445092,0.982839
218,121,post,2,1784368048.849749,1784368049.0523908,1784368048.9510698,0.958707914
219,121,post,3,1784368049.052572,1784368049.254705,1784368049.1536384,0.969432841
220,121,post,4,1784368049.2548852,1784368049.455571,1784368049.355228,0.96004853
221,121,post,5,1784368049.4557471,1784368049.656379,1784368049.5560632,0.962729762
222,121,post,6,1784368049.6565702,1784368049.864373,1784368049.7604716,0.977476536
223,121,post,7,1784368049.8645492,1784368050.073822,1784368049.9691856,0.992223311
224,122,pre,0,1784368131.4788349,1784368131.68693,1784368131.5828824,0.0926700711
225,122,pre,1,1784368131.6871219,1784368131.889204,1784368131.788163,0.0739014491
226,122,pre,2,1784368131.889431,1784368132.09957,1784368131.9945006,0.0779232967
227,122,pre,3,1784368132.099761,1784368132.3063731,1784368132.203067,0.0846263759
228,122,pre,4,1784368132.306557,1784368132.51068,1784368132.4086185,0.0926700711
229,122,pre,5,1784368132.510859,1784368132.720973,1784368132.615916,0.0685389857
230,122,pre,6,1784368132.72116,1784368132.9230819,1784368132.822121,0.0859669918
231,122,pre,7,1784368132.923281,1784368133.1322932,1784368133.0277872,0.0926700711
232,122,post,0,1784368151.821048,1784368152.0230882,1784368151.922068,0.0832857601
233,122,post,1,1784368152.023329,1784368152.233207,1784368152.128268,0.0940106869
234,122,post,2,1784368152.233391,1784368152.443563,1784368152.3384771,0.102054382
235,122,post,3,1784368152.443746,1784368152.6454248,1784368152.5445855,0.0578140588
236,122,post,4,1784368152.6456268,1784368152.845937,1784368152.745782,0.0645171381
237,122,post,5,1784368152.846126,1784368153.056305,1784368152.9512155,0.0618359064
238,122,post,6,1784368153.05668,1784368153.266923,1784368153.1618013,0.0578140588
239,122,post,7,1784368153.267125,1784368153.472499,1784368153.369812,0.0671983698
240,123,pre,0,1784368162.89784,1784368163.1004622,1784368162.9991512,0.0671983698
241,123,pre,1,1784368163.100739,1784368163.31008,1784368163.2054095,0.0859669918
242,123,pre,2,1784368163.310267,1784368163.514623,1784368163.412445,0.0846263759
243,123,pre,3,1784368163.515046,1784368163.718555,1784368163.6168003,0.0819451442
244,123,pre,4,1784368163.718729,1784368163.9208,1784368163.8197646,0.0537922112
245,123,pre,5,1784368163.92099,1784368164.123105,1784368164.0220475,0.0765826808
246,123,pre,6,1784368164.123429,1784368164.3335779,1784368164.2285035,0.0886482235
247,123,pre,7,1784368164.333765,1784368164.53959,1784368164.4366775,0.0497703637
248,123,post,0,1784368183.230738,1784368183.432202,1784368183.33147,0.0899888394
249,123,post,1,1784368183.432394,1784368183.639155,1784368183.5357745,0.0980325345
250,123,post,2,1784368183.639381,1784368183.84954,1784368183.7444606,0.0417266685
251,123,post,3,1784368183.849718,1784368184.05319,1784368183.9514542,0.037704821
252,123,post,4,1784368184.0533812,1784368184.2623832,1784368184.1578822,0.0604952905
253,123,post,5,1784368184.26256,1784368184.4657018,1784368184.364131,0.0739014491
254,123,post,6,1784368184.4659,1784368184.6706612,1784368184.5682807,0.102054382
255,123,post,7,1784368184.670829,1784368184.872009,1784368184.771419,0.0631765222
256,124,pre,0,1784368192.867999,1784368193.071882,1784368192.9699407,0.115460541
257,124,pre,1,1784368193.072075,1784368193.282249,1784368193.177162,0.0671983698
258,124,pre,2,1784368193.282449,1784368193.488441,1784368193.385445,0.0940106869
259,124,pre,3,1784368193.4886231,1784368193.698747,1784368193.5936852,0.0819451442
260,124,pre,4,1784368193.698962,1784368193.9052029,1784368193.8020825,0.0859669918
261,124,pre,5,1784368193.9054148,1784368194.115555,1784368194.010485,0.0859669918
262,124,pre,6,1784368194.1157792,1784368194.3200388,1784368194.2179089,0.0886482235
263,124,pre,7,1784368194.320244,1784368194.521395,1784368194.4208195,0.0645171381
264,124,post,0,1784368213.1931992,1784368213.395828,1784368213.2945137,0.0779232967
265,124,post,1,1784368213.396081,1784368213.6047318,1784368213.5004063,0.0618359064
266,124,post,2,1784368213.604945,1784368213.809658,1784368213.7073016,0.0832857601
267,124,post,3,1784368213.8098502,1784368214.0199869,1784368213.9149184,0.0846263759
268,124,post,4,1784368214.020185,1784368214.222412,1784368214.1212986,0.0712202174
269,124,post,5,1784368214.2226188,1784368214.432769,1784368214.327694,0.0671983698
270,124,post,6,1784368214.433012,1784368214.643148,1784368214.53808,0.0846263759
271,124,post,7,1784368214.643334,1784368214.8534532,1784368214.7483935,0.0832857601
272,125,pre,0,1784368224.2975519,1784368224.5077162,1784368224.4026341,0.0537922112
273,125,pre,1,1784368224.507905,1784368224.7180429,1784368224.612974,0.0832857601
274,125,pre,2,1784368224.7182279,1784368224.922289,1784368224.8202584,0.0913294552
275,125,pre,3,1784368224.922549,1784368225.130154,1784368225.0263515,0.102054382
276,125,pre,4,1784368225.1303492,1784368225.339078,1784368225.2347136,0.0873076077
277,125,pre,5,1784368225.339285,1784368225.543731,1784368225.4415078,0.0832857601
278,125,pre,6,1784368225.543904,1784368225.748091,1784368225.6459975,0.075242065
279,125,pre,7,1784368225.748298,1784368225.952395,1784368225.8503466,0.0819451442
280,125,post,0,1784368244.631904,1784368244.832861,1784368244.7323823,0.0873076077
281,125,post,1,1784368244.8330681,1784368245.033694,1784368244.933381,0.0873076077
282,125,post,2,1784368245.033877,1784368245.2385721,1784368245.1362245,0.0993731504
283,125,post,3,1784368245.23878,1784368245.447416,1784368245.3430982,0.0524515954
284,125,post,4,1784368245.447684,1784368245.657839,1784368245.5527616,0.0685389857
285,125,post,5,1784368245.658027,1784368245.868187,1784368245.7631068,0.0685389857
286,125,post,6,1784368245.868385,1784368246.072404,1784368245.9703946,0.0806045284
287,125,post,7,1784368246.072614,1784368246.282849,1784368246.1777315,0.075242065
288,126,pre,0,1784368327.6248388,1784368327.8333912,1784368327.729115,1.12360366
289,126,pre,1,1784368327.834473,1784368328.0386372,1784368327.936555,1.07534149
290,126,pre,2,1784368328.038864,1784368328.2468212,1784368328.1428425,1.13030674
291,126,pre,3,1784368328.247275,1784368328.457454,1784368328.3523645,1.08204457
292,126,pre,4,1784368328.45765,1784368328.663618,1784368328.5606341,1.11287874
293,126,pre,5,1784368328.663929,1784368328.870101,1784368328.767015,1.08606642
294,126,pre,6,1784368328.870301,1784368329.071968,1784368328.9711347,1.10885689
295,126,pre,7,1784368329.072156,1784368329.282295,1784368329.1772256,1.11421935
296,126,post,0,1784368347.953834,1784368348.162434,1784368348.058134,1.08606642
297,126,post,1,1784368348.1626198,1784368348.363585,1784368348.2631025,1.07802273
298,126,post,2,1784368348.364311,1784368348.574508,1784368348.4694095,1.08606642
299,126,post,3,1784368348.5747352,1784368348.7797408,1784368348.677238,1.0672978
300,126,post,4,1784368348.779959,1784368348.988415,1784368348.884187,1.08606642
301,126,post,5,1784368348.9888709,1784368349.198984,1784368349.0939274,1.0847258
302,126,post,6,1784368349.19916,1784368349.406101,1784368349.3026304,1.07936334
