repeat_sequence_index,point_ordinal,grid_index,block_index,condition,condition_ordinal,repeat_index,bias,approach_bias,restart_gen,restart_acq,t_restart_start_unix,t_restart_end_unix,t_discard_start_unix,t_discard_end_unix,t_dmm_pre1_start_unix,t_dmm_pre1_end_unix,dc_dmm_pre1,t_dmm_pre2_start_unix,t_dmm_pre2_end_unix,dc_dmm_pre2,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post1_start_unix,t_dmm_post1_end_unix,dc_dmm_post1,t_dmm_post2_start_unix,t_dmm_post2_end_unix,dc_dmm_post2,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
20,0,40,1,gen,1,8,0.8147635714861234,0.6842100952850247,1,0,1784287028.541506,1784287030.744097,1784287031.469339,1784287032.347144,1784287032.347693,1784287032.5591621,1.57941306,1784287032.559166,1784287032.765734,1.5914786,1784287032.76574,1784287034.832833,1784287033.7986054,1784287034.8330328,1784287035.0433002,1.58745675,1784287035.043304,1784287035.245774,1.56734751,1.2,0.18785649999999998,0.32275,-0.002421,0.003642,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2780460,2846262,0,0,0,0,2
21,0,40,1,gen,1,9,0.8147635714861234,0.6842100952850247,1,0,1784287035.249363,1784287037.441749,1784287038.174059,1784287039.05761,1784287039.058785,1784287039.2706728,1.5834349,1784287039.270677,1784287039.4822762,1.57136936,1784287039.4822779,1784287041.5596192,1784287040.5178795,1784287041.5607119,1784287041.7668328,1.61158784,1784287041.766837,1784287041.976921,1.61158784,1.2,0.18749949999999999,0.32210150000000004,-0.00243,0.0036045,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2812811,2959659,0,0,0,0,2
22,0,40,1,gen,1,10,0.8147635714861234,0.6842100952850247,1,0,1784287041.978963,1784287044.152902,1784287044.8777332,1784287045.745832,1784287045.7460349,1784287045.957556,1.58879737,1784287045.95756,1784287046.166255,1.57673182,1784287046.166261,1784287048.236864,1784287047.208978,1784287048.237352,1784287048.4480839,1.58075367,1784287048.44809,1784287048.6517901,1.57673182,1.2,0.187306,0.321835,-0.0024330000000000003,0.003628,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2770975,2843552,0,0,0,0,2
23,0,40,1,gen,1,11,0.8147635714861234,0.6842100952850247,1,0,1784287048.652432,1784287050.8468218,1784287051.5844648,1784287052.458132,1784287052.460911,1784287052.6648698,1.58879737,1784287052.664872,1784287052.874471,1.5914786,1784287052.874478,1784287054.9537091,1784287053.915792,1784287054.953941,1784287055.166137,1.62365338,1784287055.166142,1784287055.377005,1.58611614,1.2,0.18722,0.32168149999999995,-0.002443,0.0036195,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2749972,2807645,0,0,0,0,2
24,0,40,2,acq,2,0,0.8147635714861234,0.6842100952850247,0,1,1784287060.889011,1784287064.233253,1784287064.976353,1784287065.8576992,1784287065.858249,1784287066.0665112,1.60086291,1784287066.066519,1784287066.2769651,1.59013798,1784287066.276971,1784287068.351143,1784287067.3165793,1784287068.35166,1784287068.5621812,1.59550045,1784287068.562186,1784287068.7740512,1.59415983,1.2,0.1867225,0.320848,-0.002405,0.003626,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2762252,2806967,0,0,0,0,2
25,0,40,2,acq,2,1,0.8147635714861234,0.6842100952850247,0,1,1784287068.775854,1784287072.085849,1784287072.814307,1784287073.709545,1784287073.710068,1784287073.913686,1.59013798,1784287073.9136908,1784287074.121208,1.60622537,1784287074.1212108,1784287076.1944141,1784287075.1589952,1784287076.195405,1784287076.40713,1.59818168,1784287076.407132,1784287076.6137211,1.6089066,1.2,0.1865365,0.320634,-0.0024460000000000003,0.0036445,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2780545,2827885,0,0,0,0,2
26,0,40,2,acq,2,2,0.8147635714861234,0.6842100952850247,0,1,1784287076.614615,1784287079.9777029,1784287080.707618,1784287081.5883641,1784287081.591726,1784287081.7957928,1.58209429,1784287081.795797,1784287082.008384,1.59818168,1784287082.00839,1784287084.0835588,1784287083.0443034,1784287084.084818,1784287084.291442,1.5834349,1784287084.291445,1784287084.493458,1.59550045,1.2,0.18618,0.319973,-0.0024475,0.0036544999999999998,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2762676,2888352,0,0,0,0,2
27,0,40,2,acq,2,3,0.8147635714861234,0.6842100952850247,0,1,1784287084.494077,1784287087.83344,1784287088.575262,1784287089.4549382,1784287089.459899,1784287089.6639922,1.58611614,1784287089.663994,1784287089.87516,1.57673182,1784287089.875166,1784287091.938797,1784287090.9048834,1784287091.939049,1784287092.1494021,1.57673182,1784287092.149405,1784287092.3570938,1.61158784,1.2,0.18602600000000002,0.3197255,-0.002432,0.0036485,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2693825,2854646,0,0,0,0,2
28,0,40,2,acq,2,4,0.8147635714861234,0.6842100952850247,0,1,1784287092.3577778,1784287095.693472,1784287096.42734,1784287097.312358,1784287097.3169951,1784287097.5260422,1.58745675,1784287097.526044,1784287097.736695,1.58075367,1784287097.7366989,1784287099.817116,1784287098.7770753,1784287099.817317,1784287100.0276742,1.5914786,1784287100.027678,1784287100.2376142,1.5834349,1.2,0.18591649999999998,0.319609,-0.002432,0.003647,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2787066,2777157,0,0,0,0,2
29,0,40,2,acq,2,5,0.8147635714861234,0.6842100952850247,0,1,1784287100.2421901,1784287103.578151,1784287104.317075,1784287105.1937091,1784287105.194361,1784287105.404201,1.59952229,1784287105.404203,1784287105.615447,1.59818168,1784287105.615454,1784287107.700035,1784287106.6587539,1784287107.701664,1784287107.911317,1.59415983,1784287107.9113212,1784287108.123441,1.57673182,1.2,0.1857,0.319283,-0.0024595,0.0036705,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2734136,2795873,0,0,0,0,2
30,0,40,2,acq,2,6,0.8147635714861234,0.6842100952850247,0,1,1784287108.125041,1784287111.46898,1784287112.216609,1784287113.094023,1784287113.09464,1784287113.302303,1.58209429,1784287113.3023071,1784287113.5093079,1.58209429,1784287113.509314,1784287115.5904682,1784287114.5507083,1784287115.59099,1784287115.7966568,1.59415983,1784287115.796659,1784287116.0074282,1.59281921,1.2,0.185282,0.3186205,-0.0024415,0.0036755,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2704749,2807645,0,0,0,0,2
31,0,40,2,acq,2,7,0.8147635714861234,0.6842100952850247,0,1,1784287116.008095,1784287119.313557,1784287120.043912,1784287120.917898,1784287120.92,1784287121.130153,1.59281921,1784287121.130156,1784287121.341612,1.59281921,1784287121.341619,1784287123.418947,1784287122.383152,1784287123.419137,1784287123.6278772,1.59818168,1784287123.627881,1784287123.8375869,1.59550045,1.2,0.1852905,0.318597,-0.002469,0.0036769999999999997,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2732527,2765724,0,0,0,0,2
32,0,40,2,acq,2,8,0.8147635714861234,0.6842100952850247,0,1,1784287123.8390248,1784287127.1778922,1784287127.912993,1784287128.780855,1784287128.781078,1784287128.991789,1.59684106,1784287128.991793,1784287129.2007759,1.57405059,1784287129.200783,1784287131.280431,1784287130.239935,1784287131.2853749,1784287131.495546,1.58209429,1784287131.49555,1784287131.704361,1.59281921,1.2,0.1851135,0.3183005,-0.0024685,0.003699,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2719400,2873870,0,0,0,0,2
33,0,40,2,acq,2,9,0.8147635714861234,0.6842100952850247,0,1,1784287131.7110531,1784287135.030195,1784287135.758333,1784287136.643029,1784287136.643656,1784287136.8513012,1.59013798,1784287136.851306,1784287137.0590951,1.5914786,1784287137.0591009,1784287139.133457,1784287138.095764,1784287139.1354399,1784287139.3450618,1.56332567,1784287139.345066,1784287139.5503528,1.58477552,1.2,0.18489850000000002,0.3178985,-0.002463,0.003682,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2767757,2875395,0,0,0,0,2
34,0,40,2,acq,2,10,0.8147635714861234,0.6842100952850247,0,1,1784287139.550988,1784287142.861949,1784287143.587826,1784287144.454585,1784287144.456005,1784287144.66798,1.57941306,1784287144.6679838,1784287144.877089,1.56868813,1784287144.8770921,1784287146.9599822,1784287145.9166188,1784287146.961011,1784287147.1709561,1.58209429,1784287147.170958,1784287147.371237,1.5834349,1.2,0.1846895,0.31763850000000005,-0.0024545,0.0036940000000000002,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2753699,2799938,0,0,0,0,2
35,0,40,2,acq,2,11,0.8147635714861234,0.6842100952850247,0,1,1784287147.373327,1784287150.701924,1784287151.439827,1784287152.3215659,1784287152.321781,1784287152.5311239,1.60622537,1784287152.5311282,1784287152.7400708,1.59818168,1784287152.740074,1784287154.822865,1784287153.7828407,1784287154.823082,1784287155.0333319,1.60622537,1784287155.0333362,1784287155.2436612,1.59818168,1.2,0.18457400000000002,0.3174405,-0.0024454999999999998,0.0036864999999999997,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2750819,2844738,0,0,0,0,2
